216188, Rahandusministeeriumi Infotehnoloogiakeskus, 2020-01-08, "Osaühing MS Ärisüsteemid", 217596, "Majandustarkvara SAP litsentside hooldus- ja tugiteenus"
217728, Eesti Rahvusringhääling, 2019-12-20, "Jutel Oy", 79977.92, "Raadioprogrammide tootmistarkvara Radioman tugi- ja hooldusteenuse tellimine"
217345, Aktsiaselts Eesti Post, 2020-01-01, "", , "Content Serveri tootetugi ja litsentsid"
214538, Siseministeeriumi infotehnoloogia- ja arenduskeskus, 2020-01-09, "ByteLife Solutions OÜ", 500000, "VMware toodete, sh litsentside, ostmine ja tootetoe tellimine"
214538, Siseministeeriumi infotehnoloogia- ja arenduskeskus, 2020-01-09, "Santa Monica Networks AS", 500000, "VMware toodete, sh litsentside, ostmine ja tootetoe tellimine"
215629, Siseministeeriumi infotehnoloogia- ja arenduskeskus, 2020-01-11, "ByteLife Solutions OÜ", 240000, "Konfigureerimistarkvara litsentsid ja tootetugi"
217018, Eesti Haigekassa, 2020-01-15, "Intelsys OÜ", 119000, "SAP Rakenduste haldus"
216862, Rahandusministeeriumi Infotehnoloogiakeskus, 2020-01-14, "Cybernetica AS", 409034, "Imporditollideklaratsioonide töötlemise süsteemi (IMPULSS) arendustööd"
216862, Rahandusministeeriumi Infotehnoloogiakeskus, 2020-01-14, "Cybernetica AS", 229666, "Imporditollideklaratsioonide töötlemise süsteemi (IMPULSS) arendustööd"
216862, Rahandusministeeriumi Infotehnoloogiakeskus, 2020-01-14, "Cybernetica AS", 412334, "Imporditollideklaratsioonide töötlemise süsteemi (IMPULSS) arendustööd"
217583, Keskkonnaministeeriumi Infotehnoloogiakeskus, 2020-01-01, "BAE Systems Information and Electronic Systems Integration Inc", 50000, "SOCET tarkvara tugiteenus"
217430, Tervise ja Heaolu Infosüsteemide Keskus, 2020-01-16, "Osaühing Webware", 67000, "Tööinspektsiooni infosüsteemi ja ettevõtja iseteeninduskeskkonna baastarkvara „Webdesktop” arendus- ja hooldustööd ning tugiteenus"
212876, Haridus- ja Teadusministeerium, 2019-12-20, "Intelex Insight OÜ", 200000, "Haridussilma keskkonna arendamine"
214166, Tervise ja Heaolu Infosüsteemide Keskus, 2020-01-17, "Intelex Insight OÜ", 34860, "Sotsiaalkindlustusameti kliendipöördumiste automatiseerimise analüüs ja prototüübi loomine"
215676, Siseministeeriumi infotehnoloogia- ja arenduskeskus, 2020-01-18, "Trinidad Wiseman OÜ", 230000, "Atlassian tootepere toodete litsentsid ning tootetugi"
217713, Tervise ja Heaolu Infosüsteemide Keskus, 2020-01-20, "PlanPro OÜ", 35080, "PlanPro infosüsteemi tugiteenuse pikendamine"
216757, Tervise ja Heaolu Infosüsteemide Keskus, 2020-01-15, "Osaühing IDAKOIDLIK", 34.73, "Vee Terviseohutuse infosüsteemi hooldus- ja arendustööd"
214872, AKTSIASELTS EESTI LOTO, 2019-12-07, "Tieto Estonia Aktsiaselts", 420000, "Loteriisüsteemi integreerimise, migreerimise, arenduse ja tugiteenuste ostmine"
217917, Eesti Raamatukoguvõrgu Konsortsium, 2020-01-23, "Mindworks Industries OÜ", 60000, "Kasutajate halduse (registreerimise ja autentimise) süsteemi tarkvara hooldus"
217459, Riigi Infosüsteemi Amet, 2019-12-27, "Telia Eesti AS", 9601.2, "Serverite toepikendused"
210324, Rae Vallavalitsus, 2020-01-20, "VEERA OÜ", 26147.6, "Rae valla eelarvestamise uus lahendus"
217479, Riigi Infosüsteemi Amet, 2020-01-06, "Santa Monica Networks AS", 8517, "Võrguseadmete toepikendused"
217540, Keskkonnaministeeriumi Infotehnoloogiakeskus, 2020-01-28, "Virtuaalne Keskkond OÜ", 59000, ".NET platvormil Eesti looduse infosüsteemi (EELIS) tarkvara arendus- ja hooldustööd 2020 -2021"
217860, Keskkonnaministeeriumi Infotehnoloogiakeskus, 2020-01-28, "Oracle East Central Europe Limited Eesti filiaal", 37119.96, "Oracle andmebaasi tarkvara litsentside uuendamine ja tugiteenus"
216961, Rakvere Linnavalitsus, 2020-01-09, "Aktsiaselts Eesti Post", 17500, "Rakvere Linnavalitsusele ja Linnavalitsuse hallatavatele asutustele e-arvete haldusteenuse ostmiseks"
217626, Tallinna Ülikool, 2020-01-30, "OÜ Web Expert", 56000, "Erialasid lõimiv uuendus (ELU) infosüsteemi loomine"
216267, Siseministeeriumi infotehnoloogia- ja arenduskeskus, 2020-01-21, "AS Atea", 45466.4, "IBM MQ serverite litsentside tellimine koos tootetoega"
217837, Siseministeeriumi infotehnoloogia- ja arenduskeskus, 2020-01-31, "AS Atea", 37549, "SonarQube litsentsid koos tootetoega aastaks 2020"
218643, Eesti Energia Aktsiaselts, 2020-01-31, "", , "Microsoft tootetoe hankimine"
215554, Enefit Wind OÜ, 2019-12-18, "", , "WWD Tarkvara uuendused / WWD Controller Software Updates"
215161, Enefit Wind OÜ, 2019-11-28, "", , "Aulepa tuulepargi tuulikute kaughaldus / Remote monitoring and remote operation for Aulepa Wind park"
217169, Keskkonnaministeeriumi Infotehnoloogiakeskus, 2020-02-03, "Aktsiaselts Datel", 522300, "Maainfosüsteemi tugiteenuste ostmine"
214507, Registrite ja Infosüsteemide Keskus, 2020-01-30, "OÜ Quretec", 145000, "Muuseumide infosüsteemi ja digitaalhoidla hooldustööde ja lisaarenduste tellimine"
218498, Rahvusarhiiv, 2020-02-04, "osaühing MQ Consulting", 30000, "Digitaalarhiivi tarkvara Preservica seadistamine ning täienduste juurutamine 2020. aastal"
217327, Maanteeamet, 2020-02-04, "Aktsiaselts Teede Tehnokeskus", 19890, "Projekteerimisobjektide ja eelmisel aastal valminud katendite kandevõime mõõtmine ja mõõtmisandmete töötlemine 2020.aastal"
218689, Eesti Pank, 2020-02-04, "Aktsiaselts Stallion", 33985.41, "Veebi ja e-posti andmeturbevahendi hange"
216544, Riigi Infosüsteemi Amet, 2020-02-03, "Nortal AS", 49920, "Riikliku SSO (single-sign-on) tehniline analüüs"
219422, Tartu Ülikool, 2020-02-03, "Osaühing Webware", 20000, "Elektroonilise dokumendihaldussüsteemi Webdesktop tarkvara hooldus- ja arendusteenuse tellimine"
217760, aktsiaselts TALLINNA SADAM, 2020-02-07, "", , "Targa Sadama tarkvara partner 2020-2022"
208657, Tervise ja Heaolu Infosüsteemide Keskus, 2020-02-11, "Industry62 OÜ", 55, "eKiirabi infosüsteemi arendustööd"
219541, Ettevõtluse Arendamise Sihtasutus, 2020-02-05, "E-see lnternational Ltd", 41500, "Toolbox.estonia.ee platvormi litsents 2020-2022"
218786, Siseministeeriumi infotehnoloogia- ja arenduskeskus, 2020-02-10, "Oracle East Central Europe Limited Eesti filiaal", 260124.05, "Oracle litsentside tootetugi"
